Time	F0(Hz)	Intensity(dB) F1(Hz) F2(Hz) 
Time	F0(Hz)	Intensity(dB) F1(Hz) F2(Hz) 
Time	F0(Hz)	Intensity(dB) F1(Hz) F2(Hz) 
Time	F0(Hz)	Intensity(dB) F1(Hz) F2(Hz) 
Time	F0(Hz)	Intensity(dB) F1(Hz) F2(Hz) 
Time	F0(Hz)	Intensity(dB) F1(Hz) F2(Hz) 
Time	F0(Hz)	Intensity(dB) F1(Hz) F2(Hz) 
Time	F0(Hz)	Intensity(dB) F1(Hz) F2(Hz) 
0.01 --undefined-- --undefined-- --undefined-- --undefined--
0.02 --undefined-- --undefined-- --undefined-- --undefined--
0.51 --undefined-- 14.224 2344.925 2344.925
0.52 --undefined-- 16.583 2252.049 2252.049
0.53 --undefined-- 14.242 2628.291 2628.291
0.54 --undefined-- 16.650 2467.311 2467.311
0.55 --undefined-- 17.429 2526.732 2526.732
0.56 --undefined-- 14.644 2594.701 2594.701
0.57 --undefined-- 15.949 2474.409 2474.409
0.58 --undefined-- 16.117 2598.123 2598.123
0.59 --undefined-- 12.929 2798.479 2798.479
0.60 --undefined-- 11.693 2539.586 2539.586
0.61 --undefined-- 12.402 2548.883 2548.883
0.62 --undefined-- 11.753 2846.725 2846.725
0.63 --undefined-- 9.801 2519.466 2519.466
0.64 --undefined-- 9.336 2367.921 2367.921
0.65 --undefined-- 12.456 2421.188 2421.188
0.66 --undefined-- 13.679 2461.859 2461.859
0.67 --undefined-- 11.498 2435.953 2435.953
0.68 --undefined-- 10.969 2318.997 2318.997
0.69 --undefined-- 13.144 2398.378 2398.378
0.70 --undefined-- 13.876 2196.448 2196.448
0.71 --undefined-- 12.583 2205.511 2205.511
0.72 --undefined-- 14.009 2489.812 2489.812
0.73 --undefined-- 16.019 2293.752 2293.752
0.74 --undefined-- 14.240 2247.191 2247.191
0.75 --undefined-- 13.260 2576.831 2576.831
0.76 --undefined-- 14.000 2438.996 2438.996
0.77 --undefined-- 10.605 2336.905 2336.905
0.78 --undefined-- 7.729 1972.769 1972.769
0.79 --undefined-- 8.141 2619.416 2619.416
0.80 --undefined-- 8.416 2906.258 2906.258
0.81 --undefined-- 8.916 2454.751 2454.751
0.82 --undefined-- 9.029 2525.256 2525.256
0.83 --undefined-- 10.707 2525.860 2525.860
0.84 --undefined-- 12.363 2469.609 2469.609
0.85 --undefined-- 11.611 2438.863 2438.863
0.86 --undefined-- 12.102 2570.110 2570.110
0.87 --undefined-- 12.026 2344.781 2344.781
0.88 --undefined-- 8.011 1747.130 1747.130
0.89 --undefined-- 11.864 1965.453 1965.453
0.90 --undefined-- 11.865 2383.865 2383.865
0.91 --undefined-- 13.748 2562.818 2562.818
0.92 --undefined-- 16.907 2740.635 2740.635
0.93 --undefined-- 15.259 2641.425 2641.425
0.94 --undefined-- 16.391 2474.634 2474.634
0.95 --undefined-- 17.389 2334.405 2334.405
0.96 --undefined-- 13.993 2582.878 2582.878
0.97 --undefined-- 14.714 2488.657 2488.657
0.98 --undefined-- 15.245 2488.681 2488.681
0.99 --undefined-- 11.684 1851.224 1851.224
1.00 --undefined-- 10.449 2486.756 2486.756
1.01 --undefined-- 10.291 2849.988 2849.988
1.02 --undefined-- 6.414 2263.980 2263.980
1.03 --undefined-- 3.501 1885.681 1885.681
1.04 --undefined-- 2.273 1852.324 1852.324
1.05 --undefined-- 2.290 2679.722 2679.722
1.06 --undefined-- 7.605 1988.564 1988.564
1.07 --undefined-- 13.871 1637.732 1637.732
1.08 --undefined-- 21.845 1602.021 1602.021
1.09 77.995 27.506 1601.921 1601.921
1.10 --undefined-- 30.801 1616.497 1616.497
1.11 233.830 33.381 1530.464 1530.464
1.12 238.405 35.456 1570.136 1570.136
1.13 250.633 35.795 1715.456 1715.456
1.14 257.331 35.986 1654.309 1654.309
1.15 259.007 36.258 1621.155 1621.155
1.16 259.439 36.212 1576.860 1576.860
1.17 259.370 35.873 1541.110 1541.110
1.18 260.181 35.295 1459.361 1459.361
1.19 260.333 34.860 1472.644 1472.644
1.20 260.322 34.625 1398.613 1398.613
1.21 259.584 34.413 1556.537 1556.537
1.22 259.175 34.378 1823.021 1823.021
1.23 259.049 34.346 1529.892 1529.892
1.24 259.378 34.122 1524.076 1524.076
1.25 259.105 33.957 1594.312 1594.312
1.26 258.623 34.035 1474.514 1474.514
1.27 258.707 33.903 1554.010 1554.010
1.28 258.625 33.658 1536.217 1536.217
1.29 257.765 33.715 1516.222 1516.222
1.30 257.868 33.998 1504.170 1504.170
1.31 257.953 34.284 1479.948 1479.948
1.32 257.838 34.391 1488.551 1488.551
1.33 257.295 34.215 1478.201 1478.201
1.34 257.331 34.163 1502.882 1502.882
1.35 257.149 34.089 1469.986 1469.986
1.36 257.607 34.120 1468.922 1468.922
1.37 257.799 33.894 1504.504 1504.504
1.38 257.381 33.587 1568.009 1568.009
1.39 257.107 33.513 1699.764 1699.764
1.40 257.084 33.610 1535.250 1535.250
1.41 257.185 33.952 1500.056 1500.056
1.42 257.224 33.931 1485.428 1485.428
1.43 257.284 33.889 1481.792 1481.792
1.44 256.860 33.905 1481.080 1481.080
1.45 256.834 33.925 1509.800 1509.800
1.46 256.819 33.982 1481.544 1481.544
1.47 256.639 34.008 1489.304 1489.304
1.48 256.413 33.823 1476.418 1476.418
1.49 256.061 33.794 1483.773 1483.773
1.50 256.546 33.589 1482.234 1482.234
1.51 255.681 33.337 1505.064 1505.064
1.52 255.683 33.183 1529.137 1529.137
1.53 254.239 33.487 1483.591 1483.591
1.54 254.252 34.041 1491.369 1491.369
1.55 254.575 33.890 1482.147 1482.147
1.56 255.056 33.713 1507.894 1507.894
1.57 254.617 33.464 1501.366 1501.366
1.58 254.470 33.029 1476.578 1476.578
1.59 254.859 32.971 1506.621 1506.621
1.60 255.765 33.114 1497.089 1497.089
1.61 255.411 33.234 1501.551 1501.551
1.62 255.571 33.019 1509.111 1509.111
1.63 256.092 32.817 1493.285 1493.285
